location,yr,week,start_date,end_date,ew,weekly_hosps
01,2020,43,2020-10-18,2020-10-24,202043,3.0
01,2020,44,2020-10-25,2020-10-31,202044,17.0
01,2020,45,2020-11-01,2020-11-07,202045,13.0
01,2020,46,2020-11-08,2020-11-14,202046,23.0
01,2020,47,2020-11-15,2020-11-21,202047,8.0
01,2020,48,2020-11-22,2020-11-28,202048,14.0
01,2020,49,2020-11-29,2020-12-05,202049,12.0
01,2020,50,2020-12-06,2020-12-12,202050,4.0
01,2020,51,2020-12-13,2020-12-19,202051,33.0
01,2020,52,2020-12-20,2020-12-26,202052,32.0
01,2020,53,2020-12-27,2021-01-02,202053,25.0
01,2021,1,2021-01-03,2021-01-09,202101,40.0
01,2021,2,2021-01-10,2021-01-16,202102,40.0
01,2021,3,2021-01-17,2021-01-23,202103,38.0
01,2021,4,2021-01-24,2021-01-30,202104,45.0
01,2021,5,2021-01-31,2021-02-06,202105,28.0
01,2021,6,2021-02-07,2021-02-13,202106,27.0
01,2021,7,2021-02-14,2021-02-20,202107,19.0
01,2021,8,2021-02-21,2021-02-27,202108,41.0
01,2021,9,2021-02-28,2021-03-06,202109,20.0
01,2021,10,2021-03-07,2021-03-13,202110,19.0
01,2021,11,2021-03-14,2021-03-20,202111,22.0
01,2021,12,2021-03-21,2021-03-27,202112,17.0
01,2021,13,2021-03-28,2021-04-03,202113,11.0
01,2021,14,2021-04-04,2021-04-10,202114,18.0
01,2021,15,2021-04-11,2021-04-17,202115,19.0
01,2021,16,2021-04-18,2021-04-24,202116,32.0
01,2021,17,2021-04-25,2021-05-01,202117,19.0
01,2021,18,2021-05-02,2021-05-08,202118,9.0
01,2021,19,2021-05-09,2021-05-15,202119,19.0
01,2021,20,2021-05-16,2021-05-22,202120,15.0
01,2021,21,2021-05-23,2021-05-29,202121,16.0
01,2021,22,2021-05-30,2021-06-05,202122,20.0
01,2021,23,2021-06-06,2021-06-12,202123,19.0
01,2021,24,2021-06-13,2021-06-19,202124,20.0
01,2021,25,2021-06-20,2021-06-26,202125,13.0
01,2021,26,2021-06-27,2021-07-03,202126,18.0
01,2021,27,2021-07-04,2021-07-10,202127,14.0
01,2021,28,2021-07-11,2021-07-17,202128,18.0
01,2021,29,2021-07-18,2021-07-24,202129,20.0
01,2021,30,2021-07-25,2021-07-31,202130,31.0
01,2021,31,2021-08-01,2021-08-07,202131,21.0
01,2021,32,2021-08-08,2021-08-14,202132,18.0
01,2021,33,2021-08-15,2021-08-21,202133,28.0
01,2021,34,2021-08-22,2021-08-28,202134,22.0
01,2021,35,2021-08-29,2021-09-04,202135,33.0
01,2021,36,2021-09-05,2021-09-11,202136,27.0
01,2021,37,2021-09-12,2021-09-18,202137,22.0
01,2021,38,2021-09-19,2021-09-25,202138,19.0
01,2021,39,2021-09-26,2021-10-02,202139,11.0
